source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-06-08T09:00:42+00:00,900005,Huelva,ES,2026-06-11,37.25,-6.9375,Europe/Madrid,31.3,19.5,24.8,0.0,0.0,0.0,17.2
forecast,2026-06-08T09:00:42+00:00,900005,Huelva,ES,2026-06-12,37.25,-6.9375,Europe/Madrid,30.1,20.3,25.0,0.0,0.0,0.0,16.9
forecast,2026-06-08T09:00:42+00:00,900005,Huelva,ES,2026-06-13,37.25,-6.9375,Europe/Madrid,30.6,18.6,24.5,0.0,0.0,0.0,14.8
forecast,2026-06-08T09:00:42+00:00,900005,Huelva,ES,2026-06-14,37.25,-6.9375,Europe/Madrid,25.7,20.5,22.7,5.4,3.9,0.0,15.8
forecast,2026-06-08T09:00:42+00:00,900006,Jaén,ES,2026-06-08,37.8125,-3.8125,Europe/Madrid,33.6,19.5,26.8,0.0,0.0,0.0,16.6
forecast,2026-06-08T09:00:42+00:00,900006,Jaén,ES,2026-06-09,37.8125,-3.8125,Europe/Madrid,35.2,19.6,28.1,0.0,0.0,0.0,17.8
forecast,2026-06-08T09:00:42+00:00,900006,Jaén,ES,2026-06-10,37.8125,-3.8125,Europe/Madrid,34.7,20.1,27.9,0.0,0.0,0.0,16.0
forecast,2026-06-08T09:00:42+00:00,900006,Jaén,ES,2026-06-11,37.8125,-3.8125,Europe/Madrid,35.4,19.5,27.4,0.0,0.0,0.0,15.8
forecast,2026-06-08T09:00:42+00:00,900006,Jaén,ES,2026-06-12,37.8125,-3.8125,Europe/Madrid,35.8,19.9,27.6,0.0,0.0,0.0,17.1
forecast,2026-06-08T09:00:42+00:00,900006,Jaén,ES,2026-06-13,37.8125,-3.8125,Europe/Madrid,36.5,21.8,28.8,0.3,0.0,0.0,18.0
forecast,2026-06-08T09:00:42+00:00,900006,Jaén,ES,2026-06-14,37.8125,-3.8125,Europe/Madrid,29.4,20.7,25.0,0.0,0.0,0.0,18.8
forecast,2026-06-08T09:00:42+00:00,900007,Málaga,ES,2026-06-08,36.75,-4.4375,Europe/Madrid,26.5,19.6,23.4,0.0,0.0,0.0,12.9
forecast,2026-06-08T09:00:42+00:00,900007,Málaga,ES,2026-06-09,36.75,-4.4375,Europe/Madrid,26.4,20.4,23.0,0.0,0.0,0.0,11.6
